state,year,quarter,insurance_type,count,amount
andaman-&-nicobar-islands,2020,3,TOTAL,41,15380.0
andaman-&-nicobar-islands,2020,4,TOTAL,124,157975.0
andaman-&-nicobar-islands,2020,2,TOTAL,6,1360.0
andaman-&-nicobar-islands,2022,4,TOTAL,901,1441210.0
andaman-&-nicobar-islands,2022,1,TOTAL,768,1131287.0
andaman-&-nicobar-islands,2022,2,TOTAL,501,779740.0
andaman-&-nicobar-islands,2022,3,TOTAL,643,902466.0
andaman-&-nicobar-islands,2021,4,TOTAL,757,1056380.0
andaman-&-nicobar-islands,2021,2,TOTAL,137,181504.0
andaman-&-nicobar-islands,2021,1,TOTAL,225,244266.0
andaman-&-nicobar-islands,2021,3,TOTAL,230,305235.0
andaman-&-nicobar-islands,2024,2,TOTAL,1097,1744694.0
andaman-&-nicobar-islands,2024,1,TOTAL,1371,1964556.0
andaman-&-nicobar-islands,2024,3,TOTAL,1191,1752800.0
andaman-&-nicobar-islands,2024,4,TOTAL,1293,2026380.0
andaman-&-nicobar-islands,2023,1,TOTAL,1004,1439198.0
andaman-&-nicobar-islands,2023,3,TOTAL,795,1251145.0
andaman-&-nicobar-islands,2023,4,TOTAL,1145,1757821.0
andaman-&-nicobar-islands,2023,2,TOTAL,768,1233395.0
arunachal-pradesh,2022,2,TOTAL,564,1360231.0
arunachal-pradesh,2022,1,TOTAL,355,894107.0
arunachal-pradesh,2022,3,TOTAL,510,1300304.0
arunachal-pradesh,2022,4,TOTAL,613,1464572.0
arunachal-pradesh,2021,1,TOTAL,194,131611.0
arunachal-pradesh,2021,2,TOTAL,204,224928.0
arunachal-pradesh,2021,4,TOTAL,320,598459.0
arunachal-pradesh,2021,3,TOTAL,212,371051.0
arunachal-pradesh,2020,4,TOTAL,125,84247.0
arunachal-pradesh,2020,3,TOTAL,135,39687.0
arunachal-pradesh,2020,2,TOTAL,65,14329.0
arunachal-pradesh,2024,3,TOTAL,842,1951385.0
arunachal-pradesh,2024,4,TOTAL,999,2359472.0
arunachal-pradesh,2024,1,TOTAL,1100,2419700.0
arunachal-pradesh,2024,2,TOTAL,1147,2353015.0
arunachal-pradesh,2023,4,TOTAL,809,2105408.0
arunachal-pradesh,2023,3,TOTAL,718,1904786.0
arunachal-pradesh,2023,2,TOTAL,696,2095988.0
arunachal-pradesh,2023,1,TOTAL,606,1747475.0
bihar,2020,2,TOTAL,2816,595621.0
bihar,2020,4,TOTAL,9913,7860932.0
bihar,2020,3,TOTAL,9733,2161102.0
bihar,2021,3,TOTAL,18030,18234941.0
bihar,2021,1,TOTAL,12554,8796619.0
bihar,2021,2,TOTAL,14301,13301581.0
bihar,2021,4,TOTAL,22456,27313813.0
bihar,2022,1,TOTAL,20253,27755736.0
bihar,2022,2,TOTAL,21892,28212833.0
bihar,2022,3,TOTAL,28511,34704251.0
bihar,2022,4,TOTAL,33895,43914519.0
bihar,2023,4,TOTAL,41447,57624322.0
bihar,2023,1,TOTAL,26929,38746711.0
bihar,2023,2,TOTAL,29212,40354886.0
bihar,2023,3,TOTAL,36550,45832355.0
bihar,2024,1,TOTAL,51592,63844442.0
bihar,2024,2,TOTAL,49101,65285065.0
bihar,2024,3,TOTAL,44745,62777286.0
bihar,2024,4,TOTAL,62662,83739800.0
chandigarh,2024,1,TOTAL,1730,3143984.0
chandigarh,2024,4,TOTAL,2095,3729932.0
chandigarh,2024,3,TOTAL,1991,3445738.0
chandigarh,2024,2,TOTAL,1798,3177315.0
chandigarh,2023,3,TOTAL,1883,2660630.0
chandigarh,2023,2,TOTAL,1704,2501107.0
chandigarh,2023,4,TOTAL,1767,3053934.0
chandigarh,2023,1,TOTAL,1520,2415574.0
chandigarh,2022,3,TOTAL,1533,1998439.0
chandigarh,2022,4,TOTAL,1403,2024528.0
chandigarh,2022,2,TOTAL,1330,1874959.0
