state,year,quarter,total_amount
karnataka,2024,4,4151819803822.0
maharashtra,2024,4,4151028450887.0
karnataka,2024,3,3907202566484.0
telangana,2024,4,3859050535418.0
karnataka,2024,2,3785034703438.0
maharashtra,2024,3,3687268662139.0
maharashtra,2024,2,3573189333587.0
telangana,2024,3,3551316976598.0
karnataka,2024,1,3485248654506.0
telangana,2024,2,3461542433312.0
andhra-pradesh,2024,4,3452015568966.0
maharashtra,2024,1,3372898894856.0
karnataka,2023,4,3241376424383.0
andhra-pradesh,2024,3,3226645607489.0
uttar-pradesh,2024,4,3214106522459.0
telangana,2024,1,3203769301073.0
andhra-pradesh,2024,2,3181922420088.0
telangana,2023,4,3116417474765.0
maharashtra,2023,4,3098014934958.0
andhra-pradesh,2024,1,3012725669749.0
karnataka,2023,3,2985880895587.0
telangana,2022,4,2978252562916.148
telangana,2023,3,2870202901073.0
andhra-pradesh,2023,4,2802514977823.0
rajasthan,2024,4,2793049371408.0
karnataka,2023,2,2777599098830.0
maharashtra,2023,3,2752172184241.0
uttar-pradesh,2024,3,2717475205234.0
telangana,2022,3,2706325865752.0728
uttar-pradesh,2024,2,2704223360067.0
telangana,2023,2,2698149935008.0
andhra-pradesh,2023,3,2653414098098.0
maharashtra,2023,2,2606004606468.0
andhra-pradesh,2023,2,2506039086916.0
rajasthan,2024,2,2497094537924.0
uttar-pradesh,2024,1,2477543106639.0
rajasthan,2024,3,2472257715905.0
karnataka,2023,1,2470227226317.0
telangana,2023,1,2372581734284.0
maharashtra,2023,1,2362285906059.0
rajasthan,2024,1,2350500173790.0
uttar-pradesh,2023,4,2257441161652.0
andhra-pradesh,2023,1,2249051316530.0
maharashtra,2022,4,2210470839617.1304
bihar,2024,4,2098927476047.0
rajasthan,2023,4,2066379607801.0
maharashtra,2022,2,2006272382175.8887
madhya-pradesh,2024,4,2003305068845.0
telangana,2022,2,1951414544517.0774
maharashtra,2022,3,1947579187374.547
karnataka,2022,4,1904516622907.6438
bihar,2024,2,1886846564676.0
karnataka,2022,2,1867146114059.2336
uttar-pradesh,2023,3,1861748362006.0
uttar-pradesh,2023,2,1836622076526.0
west-bengal,2024,4,1810100029406.0
rajasthan,2023,3,1800225443616.0
bihar,2024,3,1780280473339.0
madhya-pradesh,2024,2,1779679946627.0
