state,total_txn,total_value
telangana,26174684592,41655955630076.32
karnataka,30970946279,40678721773666.38
maharashtra,31985208732,40374195687971.664
andhra-pradesh,18918696723,34669080454846.832
uttar-pradesh,18523603727,26885212184899.86
rajasthan,17108537898,26343235566259.227
madhya-pradesh,14072176059,19125279433026.816
bihar,10941026824,17901349344779.72
west-bengal,9191499687,15584164309413.676
odisha,8918527452,12263982051532.613
tamil-nadu,7796386037,11936219022648.537
delhi,8495316647,11637520248963.943
gujarat,6726865334,10192905823125.37
haryana,6744901124,9645036562815.904
jharkhand,4266420959,5906646115660.919
