state,year,quarter,total_users,total_opens
rajasthan,2024,3,35583171,5335171033
madhya pradesh,2024,3,31764084,5313772854
uttar pradesh,2024,4,70474113,5080900941
maharashtra,2024,4,71807805,5042420660
rajasthan,2024,2,34773619,4962266918
madhya pradesh,2024,2,29324466,4877924433
rajasthan,2024,1,33505514,4728118557
maharashtra,2024,3,69641161,4571320472
madhya pradesh,2024,1,28238554,4395383187
rajasthan,2023,3,30997182,4359306863
rajasthan,2023,2,29745609,4033000288
rajasthan,2023,1,28523031,3711332541
maharashtra,2023,4,65422120,3694003155
uttar pradesh,2023,4,53799813,3620813944
madhya pradesh,2023,3,26109033,3495164168
uttar pradesh,2024,2,58199149,3406733148
maharashtra,2024,2,70597223,3406640277
maharashtra,2023,2,60766850,3363859330
rajasthan,2022,3,26042948,3299787866
maharashtra,2024,1,68016876,3226964743
