year,quarter,entity_type,entity_name,registered_users,app_opens
2018,3,district,bengaluru urban,3167597,0
2018,3,district,pune,1974138,0
2018,3,district,jaipur,1438305,0
2018,3,district,mumbai suburban,1218632,0
2018,3,district,thane,1104206,0
2018,3,district,hyderabad,1024241,0
2018,3,district,rangareddy,963186,0
2018,3,district,ahmadabad,919252,0
2018,3,district,medchal malkajgiri,828425,0
2018,3,district,surat,808005,0
2018,3,pincode,201301,188664,0
2018,3,pincode,110059,156028,0
2018,3,pincode,500072,152034,0
2018,3,pincode,560068,151862,0
2018,3,pincode,110092,136676,0
2018,3,pincode,122001,130847,0
2018,3,pincode,395006,113391,0
2018,3,pincode,302012,107088,0
2018,3,pincode,560037,106572,0
2018,3,pincode,800001,106255,0
2018,2,district,bengaluru urban,2553312,0
2018,2,district,pune,1592293,0
2018,2,district,jaipur,1182983,0
2018,2,district,mumbai suburban,957633,0
2018,2,district,thane,861292,0
2018,2,district,hyderabad,842483,0
2018,2,district,rangareddy,804959,0
2018,2,district,ahmadabad,751746,0
2018,2,district,medchal malkajgiri,696211,0
2018,2,district,surat,652372,0
2018,2,pincode,201301,151073,0
2018,2,pincode,500072,129543,0
2018,2,pincode,560068,128921,0
2018,2,pincode,110059,124901,0
2018,2,pincode,110092,108175,0
2018,2,pincode,122001,107275,0
2018,2,pincode,800001,94711,0
2018,2,pincode,395006,94500,0
2018,2,pincode,560037,93771,0
2018,2,pincode,302012,89071,0
2018,4,district,bengaluru urban,4126734,0
2018,4,district,pune,2498852,0
2018,4,district,jaipur,1733893,0
2018,4,district,mumbai suburban,1578487,0
2018,4,district,thane,1473811,0
2018,4,district,hyderabad,1336872,0
2018,4,district,rangareddy,1217664,0
2018,4,district,ahmadabad,1212636,0
2018,4,district,medchal malkajgiri,1056739,0
2018,4,district,surat,998807,0
2018,4,pincode,201301,250205,0
2018,4,pincode,110059,206537,0
2018,4,pincode,560068,201605,0
2018,4,pincode,110092,177133,0
2018,4,pincode,500072,175163,0
2018,4,pincode,122001,163556,0
2018,4,pincode,560037,137280,0
2018,4,pincode,800001,134254,0
2018,4,pincode,110086,133412,0
2018,4,pincode,110085,132600,0
2018,1,district,bengaluru urban,1922368,0
2018,1,district,pune,1211643,0
2018,1,district,jaipur,900773,0
2018,1,district,mumbai suburban,719300,0
2018,1,district,hyderabad,655175,0
2018,1,district,rangareddy,635175,0
2018,1,district,thane,631864,0
2018,1,district,ahmadabad,572811,0
2018,1,district,medchal malkajgiri,549429,0
2018,1,district,visakhapatnam,497187,0
2018,1,pincode,201301,114625,0
2018,1,pincode,500072,105012,0
2018,1,pincode,560068,98487,0
2018,1,pincode,110059,95496,0
2018,1,pincode,110092,83600,0
2018,1,pincode,122001,82656,0
2018,1,pincode,560037,75304,0
2018,1,pincode,395006,72275,0
2018,1,pincode,800001,71092,0
2018,1,pincode,302012,68098,0
2020,2,district,bengaluru urban,8028070,0
2020,2,district,pune,5144688,0
2020,2,district,jaipur,3182014,0
2020,2,district,thane,3135101,0
2020,2,district,mumbai suburban,3060916,0
2020,2,district,hyderabad,2653534,0
2020,2,district,ahmadabad,2384154,0
2020,2,district,rangareddy,2313748,0
2020,2,district,north twenty four parganas,1966125,0
2020,2,district,medchal malkajgiri,1963353,0
2020,2,pincode,201301,445271,0
2020,2,pincode,110059,365614,0
2020,2,pincode,560068,351484,0
2020,2,pincode,500072,309469,0
2020,2,pincode,421302,298762,0
2020,2,pincode,110092,295000,0
2020,2,pincode,122001,293479,0
2020,2,pincode,560078,247869,0
2020,2,pincode,110086,246312,0
2020,2,pincode,395006,245129,0
2020,3,district,bengaluru urban,8611452,0
2020,3,district,pune,5546002,0
2020,3,district,jaipur,3433167,0
2020,3,district,thane,3401853,0
2020,3,district,mumbai suburban,3304696,0
2020,3,district,hyderabad,2875965,0
2020,3,district,ahmadabad,2580178,0
2020,3,district,rangareddy,2495699,0
2020,3,district,north twenty four parganas,2143943,0
2020,3,district,medchal malkajgiri,2111567,0
2020,3,pincode,201301,472490,0
2020,3,pincode,110059,393571,0
2020,3,pincode,560068,373446,0
2020,3,pincode,421302,328833,0
2020,3,pincode,500072,328018,0
2020,3,pincode,110092,314384,0
2020,3,pincode,122001,314031,0
2020,3,pincode,110086,267186,0
2020,3,pincode,560078,265627,0
2020,3,pincode,121004,261230,0
2020,1,district,bengaluru urban,7564577,0
2020,1,district,pune,4802397,0
2020,1,district,jaipur,2966508,0
2020,1,district,thane,2878073,0
2020,1,district,mumbai suburban,2843378,0
2020,1,district,hyderabad,2483843,0
2020,1,district,ahmadabad,2185983,0
2020,1,district,rangareddy,2166829,0
2020,1,district,medchal malkajgiri,1845599,0
2020,1,district,north twenty four parganas,1789973,0
2020,1,pincode,201301,425915,0
2020,1,pincode,110059,342152,0
2020,1,pincode,560068,334481,0
2020,1,pincode,500072,296003,0
2020,1,pincode,110092,280039,0
2020,1,pincode,122001,277400,0
2020,1,pincode,421302,270275,0
2020,1,pincode,560078,234102,0
2020,1,pincode,395006,230047,0
2020,1,pincode,110086,226703,0
2020,4,district,bengaluru urban,9286243,0
2020,4,district,pune,6033615,0
2020,4,district,thane,3727358,0
2020,4,district,jaipur,3679874,0
2020,4,district,mumbai suburban,3609970,0
2020,4,district,hyderabad,3142385,0
2020,4,district,ahmadabad,2787991,0
2020,4,district,rangareddy,2704868,0
2020,4,district,north twenty four parganas,2321888,0
2020,4,district,medchal malkajgiri,2282695,0
2020,4,pincode,201301,504506,0
2020,4,pincode,110059,423149,0
2020,4,pincode,560068,399638,0
2020,4,pincode,421302,365506,0
2020,4,pincode,500072,350832,0
2020,4,pincode,122001,336803,0
2020,4,pincode,110092,335783,0
2020,4,pincode,110086,288308,0
2020,4,pincode,560078,285544,0
2020,4,pincode,121004,283882,0
2021,3,district,bengaluru urban,11321012,0
2021,3,district,pune,7398336,0
2021,3,district,thane,4597394,0
2021,3,district,jaipur,4534297,0
2021,3,district,mumbai suburban,4444495,0
2021,3,district,hyderabad,3839513,0
2021,3,district,ahmadabad,3445024,0
2021,3,district,rangareddy,3310906,0
2021,3,district,north twenty four parganas,2852030,0
2021,3,district,surat,2830392,0
2021,3,pincode,201301,618043,0
2021,3,pincode,110059,520096,0
2021,3,pincode,560068,486170,0
2021,3,pincode,421302,456284,0
2021,3,pincode,500072,425197,0
2021,3,pincode,122001,412737,0
2021,3,pincode,110092,409520,0
2021,3,pincode,110086,357590,0
2021,3,pincode,121004,352312,0
2021,3,pincode,560078,346840,0
2021,1,district,bengaluru urban,9955387,0
2021,1,district,pune,6481971,0
2021,1,district,thane,4014464,0
2021,1,district,jaipur,3951866,0
2021,1,district,mumbai suburban,3886500,0
2021,1,district,hyderabad,3379663,0
2021,1,district,ahmadabad,2999575,0
2021,1,district,rangareddy,2906635,0
2021,1,district,north twenty four parganas,2491076,0
2021,1,district,surat,2458596,0
2021,1,pincode,201301,541127,0
2021,1,pincode,110059,454201,0
2021,1,pincode,560068,427525,0
2021,1,pincode,421302,396179,0
2021,1,pincode,500072,375272,0
2021,1,pincode,122001,361360,0
2021,1,pincode,110092,359376,0
2021,1,pincode,110086,310419,0
2021,1,pincode,121004,306230,0
2021,1,pincode,560078,305721,0
2021,4,district,bengaluru urban,12038775,0
2021,4,district,pune,7880431,0
2021,4,district,thane,4906492,0
2021,4,district,jaipur,4841883,0
2021,4,district,mumbai suburban,4740546,0
2021,4,district,hyderabad,4081185,0
2021,4,district,ahmadabad,3679243,0
2021,4,district,rangareddy,3523496,0
2021,4,district,north twenty four parganas,3043008,0
2021,4,district,surat,3026960,0
2021,4,pincode,201301,659549,0
2021,4,pincode,110059,555449,0
2021,4,pincode,560068,517115,0
2021,4,pincode,421302,488443,0
2021,4,pincode,500072,451595,0
2021,4,pincode,122001,440178,0
2021,4,pincode,110092,436075,0
2021,4,pincode,110086,382858,0
2021,4,pincode,121004,376910,0
2021,4,pincode,560078,368213,0
2021,2,district,bengaluru urban,10604609,0
2021,2,district,pune,6915820,0
2021,2,district,thane,4290066,0
2021,2,district,jaipur,4226231,0
2021,2,district,mumbai suburban,4151227,0
2021,2,district,hyderabad,3598337,0
2021,2,district,ahmadabad,3209841,0
2021,2,district,rangareddy,3097973,0
2021,2,district,north twenty four parganas,2660664,0
2021,2,district,surat,2633443,0
2021,2,pincode,201301,577428,0
2021,2,pincode,110059,485328,0
2021,2,pincode,560068,455417,0
2021,2,pincode,421302,424376,0
2021,2,pincode,500072,398987,0
2021,2,pincode,122001,385555,0
2021,2,pincode,110092,383095,0
2021,2,pincode,110086,332618,0
